,track_id, type, traveled_d, avg_speed
0,1, Car, 48.85, 9.770344
1,2, Motorcycle, 98.09, 19.839417
2,3, Motorcycle, 63.80, 18.228752
3,4, Motorcycle, 145.72, 26.229014
4,5, Motorcycle, 138.01, 24.841425
5,6, Medium Vehicle, 159.97, 17.451502
6,7, Motorcycle, 153.91, 22.895895
7,8, Car, 158.21, 21.739084
8,9, Car, 161.01, 21.154471
9,10, Car, 159.53, 18.891989
10,11, Car, 182.51, 18.251311
11,12, Motorcycle, 158.41, 22.104237
12,13, Motorcycle, 150.20, 23.925733
13,14, Car, 189.93, 22.056919
14,15, Car, 214.13, 22.672299
15,16, Motorcycle, 238.04, 24.624831
16,17, Motorcycle, 130.20, 0.572429
17,18, Medium Vehicle, 142.37, 9.971513
18,19, Car, 241.54, 11.655932
19,20, Car, 225.57, 21.712530
20,21, Car, 179.72, 19.969240
21,22, Bus, 256.15, 22.166647
22,23, Bus, 267.26, 28.465902
23,24, Car, 268.07, 22.548021
24,25, Car, 333.54, 23.180557
25,26, Car, 313.23, 33.165511
26,27, Car, 318.05, 31.982182
27,28, Car, 339.20, 31.800391
28,29, Motorcycle, 367.19, 38.878858
29,30, Motorcycle, 349.30, 50.704412
30,31, Car, 381.07, 28.820679
31,32, Car, 391.30, 32.015804
32,33, Motorcycle, 375.58, 33.972209
33,34, Car, 419.85, 21.592529
34,35, Car, 416.76, 20.274803
35,36, Motorcycle, 392.76, 34.825792
36,37, Bus, 158.46, 17.079537
37,38, Car, 358.27, 17.476598
38,39, Car, 372.52, 16.354501
39,40, Car, 383.98, 16.614463
40,41, Motorcycle, 282.72, 22.418229
41,42, Motorcycle, 361.74, 37.637358
42,43, Motorcycle, 423.13, 41.848151
43,44, Car, 402.49, 21.756245
44,45, Car, 354.28, 18.116729
45,46, Car, 411.41, 21.909637
46,47, Car, 447.53, 20.038720
47,48, Motorcycle, 196.29, 14.660605
48,49, Motorcycle, 60.09, 31.813922
49,50, Car, 425.20, 19.278561
50,51, Motorcycle, 259.92, 16.358897
51,52, Car, 254.50, 22.023772
52,53, Car, 199.92, 13.377304
53,54, Car, 127.54, 9.686211
54,55, Car, 160.92, 11.679452
55,56, Car, 242.95, 15.079722
56,57, Car, 302.89, 8.426560
57,58, Car, 123.27, 9.522898
58,59, Motorcycle, 48.32, 8.966502
59,60, Car, 47.42, 7.977767
60,61, Motorcycle, 194.91, 14.204055
61,62, Taxi, 79.97, 22.847876
62,63, Taxi, 289.89, 1.867591
63,64, Bus, 456.09, 7.993864
64,65, Taxi, 280.45, 16.025744
65,66, Taxi, 258.97, 11.861130
66,67, Taxi, 185.56, 12.058342
67,68, Taxi, 185.13, 12.915959
68,69, Taxi, 127.12, 10.495797
69,70, Taxi, 442.64, 19.918851
70,71, Heavy Vehicle, 151.24, 1.495741
71,72, Taxi, 183.52, 20.907353
72,73, Taxi, 15.99, 13.709574
73,74, Taxi, 434.68, 21.261560
74,75, Taxi, 133.20, 23.278397
75,76, Taxi, 353.88, 31.072162
76,77, Taxi, 295.46, 21.796327
77,78, Taxi, 206.77, 19.692781
78,79, Taxi, 215.55, 26.574647
79,80, Taxi, 222.00, 22.323695
80,81, Taxi, 194.40, 21.600212
81,82, Taxi, 150.55, 22.395560
82,83, Taxi, 74.22, 12.145817
83,84, Taxi, 47.42, 8.368982
84,85, Heavy Vehicle, 162.57, 0.821502
85,86, Car, 124.14, 0.894165
86,87, Car, 267.76, 3.733237
87,88, Car, 129.13, 12.701076
88,89, Motorcycle, 64.32, 14.118982
89,90, Taxi, 465.45, 20.285877
90,91, Motorcycle, 200.41, 14.091146
91,92, Taxi, 214.67, 14.976690
92,93, Motorcycle, 193.61, 28.800755
93,94, Car, 110.34, 9.237562
94,95, Taxi, 463.50, 20.600212
95,96, Car, 204.85, 14.749486
96,97, Heavy Vehicle, 467.87, 16.102669
97,98, Motorcycle, 9.37, 8.433102
98,99, Motorcycle, 19.93, 22.420906
99,100, Car, 212.97, 10.618917
100,101, Car, 169.41, 9.932919
101,102, Motorcycle, 463.17, 31.942672
102,103, Motorcycle, 57.62, 23.048464
103,104, Car, 196.09, 14.118836
104,105, Taxi, 235.00, 30.000579
105,106, Medium Vehicle, 502.33, 31.726205
106,107, Car, 236.72, 25.668102
107,108, Motorcycle, 79.34, 13.472079
108,109, Car, 196.80, 14.169529
109,110, Motorcycle, 489.10, 35.215056
110,111, Motorcycle, 346.02, 15.570855
111,112, Car, 485.57, 29.527702
112,113, Taxi, 498.93, 32.073758
113,114, Motorcycle, 345.72, 15.104365
114,115, Taxi, 486.39, 30.189553
115,116, Car, 264.09, 14.948745
116,117, Motorcycle, 261.73, 16.472408
117,118, Car, 483.02, 30.506824
118,119, Car, 347.36, 1.593008
119,120, Car, 332.18, 22.563180
120,121, Car, 109.56, 16.033300
121,122, Car, 39.34, 12.003092
122,123, Car, 236.57, 8.399053
123,124, Car, 206.17, 32.553122
124,125, Car, 212.07, 4.013894
125,126, Taxi, 483.24, 23.636685
126,127, Car, 498.84, 34.802491
127,128, Taxi, 108.46, 20.127502
128,129, Car, 284.79, 2.024552
129,130, Car, 483.11, 23.005001
130,131, Taxi, 233.66, 27.489050
131,132, Car, 483.28, 19.417664
132,133, Car, 36.86, 8.191375
